Column1,Column2
399.647766616,71.212805901
400.362700009,72.315307189
401.077633402,70.604015515
401.792566795,69.480343262
402.507500187,71.04773637
403.22243358,73.035606511
403.937366973,73.536995127
404.652300366,71.325355484
405.367233759,68.74731855
406.082167152,69.378296214
406.797100545,71.103621286
407.512033938,72.702581338
408.22696733,72.844523094
408.941900723,71.20771515
409.656834116,69.865511351
410.371767509,69.702388553
411.086700902,69.358665987
411.801634295,69.337586914
412.516567688,70.840787627
413.231501081,73.108287758
413.946434473,73.541912998
414.661367866,73.106910353
415.376301259,72.314572674
416.091234652,71.069618005
416.806168045,70.620856527
417.521101438,71.221464072
418.236034831,69.604168868
418.950968224,68.754367931
419.665901616,71.292557259
420.380835009,71.188476686
421.095768402,70.528259724
421.810701795,71.942022922
422.525635188,72.171919964
423.240568581,70.978236553
423.955501974,70.38861276
424.670435367,70.416356897
425.385368759,71.710382978
426.100302152,72.819081499
426.815235545,71.618449515
427.530168938,70.677722372
428.245102331,71.520649143
428.960035724,72.286974688
429.674969117,71.683650054
430.38990251,71.226535512
431.104835902,72.082776409
431.819769295,72.153096336
432.534702688,71.306932873
433.249636081,71.224476184
433.964569474,70.703339007
434.679502867,69.819283174
435.39443626,70.25334839
436.109369653,70.54323222
436.824303045,69.835813056
437.539236438,69.996206027
438.254169831,70.322749639
438.969103224,70.720582482
439.684036617,71.458838363
440.39897001,71.599652661
441.113903403,71.08542298
441.828836796,70.288406968
442.543770188,69.624066279
443.258703581,70.306082257
443.973636974,70.420024781
444.688570367,69.604839592
445.40350376,70.285761736
446.118437153,71.359661665
446.833370546,71.342982277
447.548303938,72.129607245
448.263237331,72.091504566
448.978170724,70.583909318
449.693104117,70.877632969
450.40803751,71.607787736
451.122970903,71.130449615
451.837904296,71.077295517
452.552837689,70.661023922
453.267771081,70.405834309
453.982704474,71.214001103
454.697637867,71.087904817
455.41257126,70.402969153
456.127504653,69.898249106
456.842438046,69.258331616
457.557371439,69.615691822
458.272304832,71.29530184
458.987238224,71.946163901
459.702171617,71.447963033
460.41710501,70.322378434
461.132038403,69.712420813
461.846971796,69.737273298
462.561905189,70.036880058
463.276838582,70.441566008
463.991771975,70.471268159
464.706705367,70.144353344
465.42163876,70.121915396
466.136572153,70.608233595
466.851505546,71.042449107
467.566438939,70.708246486
468.281372332,70.170416715
468.996305725,70.362226305
469.711239118,70.586543318
470.42617251,70.335191348
471.141105903,70.584876155
471.856039296,70.63293734
472.570972689,70.380028263
473.285906082,71.183456733
474.000839475,71.742558253
474.715772868,71.647187312
475.430706261,72.106270536
476.145639653,72.213048914
476.860573046,71.46311675
477.575506439,70.913391326
478.290439832,71.153589417
479.005373225,71.468518408
479.720306618,70.396801468
480.435240011,69.261026324
481.150173404,69.863138162
481.865106796,70.716048598
482.580040189,71.122182924
483.294973582,71.686407788
484.009906975,71.054418578
484.724840368,70.259356208
485.439773761,70.597159796
486.154707154,71.052896313
486.869640547,71.210166123
487.584573939,70.842134966
488.299507332,70.452055018
489.014440725,70.311104267
489.729374118,69.814885589
490.444307511,69.605523523
491.159240904,69.909795413
491.874174297,70.355963394
492.589107689,71.020994438
493.304041082,71.275979208
494.018974475,70.77310842
494.733907868,70.533833418
495.448841261,70.569653991
496.163774654,70.612000882
496.878708047,71.141243914
497.59364144,71.562910527
498.308574832,71.377535419
499.023508225,70.876496669
499.738441618,70.371847094
500.453375011,70.032244621
501.168308404,70.061918258
501.883241797,70.529409371
502.59817519,70.747882321
503.313108583,70.364923307
504.028041975,70.000790658
504.742975368,69.873829239
505.457908761,69.678965267
506.172842154,69.818384006
506.887775547,70.4666285
507.60270894,70.94419068
508.317642333,70.484420167
509.032575726,69.606003461
509.747509118,69.183379279
510.462442511,69.34166203
511.177375904,69.42587778
511.892309297,69.659740068
512.60724269,69.716692535
513.322176083,69.225787535
514.037109476,69.290253377
514.752042869,69.75498777
515.466976261,69.631062675
516.181909654,69.489196568
516.896843047,69.277896543
517.61177644,68.674826711
518.326709833,68.703074414
519.041643226,69.328199412
519.756576619,69.688317818
520.471510012,69.832652778
521.186443404,69.76676541
521.901376797,69.317810097
522.61631019,69.122711554
523.331243583,69.366765565
524.046176976,69.678717414
524.761110369,70.117799172
525.476043762,70.414721246
526.190977155,70.401454153
526.905910547,70.291833981
527.62084394,70.114920033
528.335777333,69.857161012
529.050710726,69.824881946
529.765644119,70.162864258
530.480577512,70.271129242
531.195510905,70.221695267
531.910444298,70.370334828
532.62537769,70.493211602
533.340311083,70.340184121
534.055244476,70.134996131
534.770177869,70.133918016
535.485111262,70.016667008
536.200044655,69.891018519
536.914978048,70.084167549
537.62991144,70.279773856
538.344844833,70.266100285
539.059778226,70.348434653
539.774711619,70.378546833
540.489645012,70.418687808
541.204578405,70.708348266
541.919511798,71.006183236
542.634445191,70.706082148
543.349378583,70.144626246
544.064311976,69.880642003
544.779245369,70.15733976
545.494178762,70.320335325
546.209112155,70.223769133
546.924045548,70.376597218
547.638978941,70.573471355
548.353912334,70.542908787
549.068845726,70.668493793
549.783779119,70.892690329
550.498712512,70.919163405
551.213645905,70.686044211
551.928579298,70.571157759
552.643512691,70.82638585
553.358446084,71.209172524
554.073379477,71.197746796
554.788312869,71.169534372
555.503246262,71.148466386
556.218179655,70.952915574
556.933113048,70.867893319
557.648046441,71.075583041
558.362979834,71.130470682
559.077913227,70.983590064
559.79284662,70.968907761
560.507780012,70.987684293
561.222713405,70.887105052
561.937646798,70.936935301
562.652580191,71.104525593
563.367513584,71.071600088
564.082446977,70.995515274
564.79738037,71.179273355
565.512313763,71.476601814
566.227247155,71.496146417
566.942180548,71.294408463
567.657113941,71.123303672
568.372047334,71.126295521
569.086980727,70.93700135
569.80191412,70.88032971
570.516847513,71.09935069
571.231780906,71.212417109
571.946714298,71.235766774
572.661647691,71.14103291
573.376581084,70.834117699
574.091514477,70.719563263
574.80644787,70.762755624
575.521381263,70.663656194
576.236314656,70.611699315
576.951248048,70.749390193
577.666181441,70.901058026
578.381114834,70.943311941
579.096048227,70.833347092
579.81098162,70.758345728
580.525915013,70.927367241
581.240848406,70.98973917000001
581.955781799,70.769239294
582.670715191,70.504170559
583.385648584,70.506844999
584.100581977,70.595987501
584.81551537,70.572188758
585.530448763,70.505798784
586.245382156,70.56987926
586.960315549,70.736203512
587.675248942,70.872069523
588.390182334,70.929628709
589.105115727,70.99029955
589.82004912,71.138348084
590.534982513,71.469025934
591.249915906,71.48045346
591.964849299,71.258013346
592.679782692,71.143506072
593.394716085,71.316435895
594.109649477,71.552376051
594.82458287,71.524561089
595.539516263,71.391546796
596.254449656,71.303358001
596.969383049,71.262591879
597.684316442,71.459512437
598.399249835,71.571752945
599.114183228,71.317883318
599.82911662,71.301838927
600.544050013,71.640042579
601.258983406,71.84508406
601.973916799,71.752393218
602.688850192,71.715627418
603.403783585,71.72999645
604.118716978,71.737251149
604.833650371,71.784280573
605.548583763,71.771705665
606.263517156,71.667449026
606.978450549,71.516810425
607.693383942,71.521097816
608.408317335,71.641685923
609.123250728,71.704724777
609.838184121,71.528716016
610.553117514,71.407676703
611.268050906,71.511316489
611.982984299,71.668796449
612.697917692,71.637338209
613.412851085,71.640308926
614.127784478,71.744846685
614.842717871,71.886713971
615.557651264,71.839452922
616.272584657,71.621655595
616.987518049,71.518775105
617.702451442,71.708816282
618.417384835,71.728399772
619.132318228,71.844065591
619.847251621,72.086779095
620.562185014,72.061772673
621.277118407,71.868134054
621.992051799,71.817712192
622.706985192,71.840284568
623.421918585,71.93836033
624.136851978,72.195496118
624.851785371,72.415882024
625.566718764,72.478041494
626.281652157,72.312843121
626.99658555,72.113518167
627.711518942,72.213855362
628.426452335,72.334274094
629.141385728,72.219161661
629.856319121,72.189848212
630.571252514,72.29200807
631.286185907,72.28157806
632.0011193,72.204093266
632.716052693,72.1973471
633.430986085,72.283475233
634.145919478,72.402663576
634.860852871,72.496809261
635.575786264,72.601809883
636.290719657,72.740053371
637.00565305,72.760018123
637.720586443,72.524089412
638.435519836,72.328208477
639.150453228,72.504146477
639.865386621,72.607547583
640.580320014,72.452925585
641.295253407,72.490297585
642.0101868,72.66417425
642.725120193,72.716064587
643.440053586,72.76859534
644.154986979,72.877511327
644.869920371,72.99646659
645.584853764,72.970989955
646.299787157,72.907023661
647.01472055,72.968592566
647.729653943,73.158946158
648.444587336,73.284724663
649.159520729,73.263507881
649.874454122,73.191797965
650.589387514,73.215799235
651.304320907,73.309246247
652.0192543,73.222443412
652.734187693,73.028077072
653.449121086,72.960665439
654.164054479,73.017100522
654.878987872,73.17254838
655.593921265,73.237988494
656.308854657,73.317884642
657.02378805,73.534697668
657.738721443,73.359809586
658.453654836,73.036679663
659.168588229,73.0694783
659.883521622,73.391696682
660.598455015,73.576705992
661.313388408,73.532384252
662.0283218,73.552391454
662.743255193,73.665056547
663.458188586,73.634233671
664.173121979,73.392547771
664.888055372,73.316374732
665.602988765,73.361785754
666.317922158,73.514487227
667.03285555,73.720072382
667.747788943,73.973422374
668.462722336,73.875358521
669.177655729,73.806418714
669.892589122,73.863377459
670.607522515,73.89442992
671.322455908,73.826833698
672.037389301,73.773053448
672.752322693,73.810693111
673.467256086,73.929445326
674.182189479,74.080816359
674.897122872,74.054660478
675.612056265,73.890076
676.326989658,73.824462908
677.041923051,73.805139229
677.756856444,73.924964548
678.471789836,74.260655423
679.186723229,74.296294641
679.901656622,74.205531172
680.616590015,74.280481697
681.331523408,74.304444525
682.046456801,74.144075087
682.761390194,74.082851972
683.476323587,74.352632692
684.191256979,74.479325164
684.906190372,74.475545042
685.621123765,74.43031089
686.336057158,74.335149913
687.050990551,74.352963866
687.765923944,74.455387033
688.480857337,74.408655
689.19579073,74.411685849
689.910724122,74.548516279
690.625657515,74.621066899
691.340590908,74.542370179
692.055524301,74.520768933
692.770457694,74.569573452
693.485391087,74.53486638
694.20032448,74.468628779
694.915257873,74.494409989
695.630191265,74.582726515
696.345124658,74.593347891
697.060058051,74.571365247
697.774991444,74.668323998
698.489924837,74.675374196
699.20485823,74.547621664
699.919791623,74.346561464
700.634725016,74.255759297
701.349658408,74.209008055
702.064591801,74.202552586
702.779525194,74.2952014
703.494458587,74.37103669
704.20939198,74.434930121
704.924325373,74.517012412
705.639258766,74.640870811
706.354192159,74.636225214
707.069125551,74.552769812
707.784058944,74.410404397
708.498992337,74.297363389
709.21392573,74.366121534
709.928859123,74.445762943
710.643792516,74.40188511
711.358725909,74.216871875
712.073659301,74.016168429
712.788592694,73.985217371
713.503526087,74.10013701
714.21845948,73.956443445
714.933392873,73.687103805
715.648326266,73.489211062
716.363259659,73.359363259
717.078193052,73.161041849
717.793126444,72.799060801
718.508059837,72.369182699
719.22299323,72.130714922
719.937926623,72.232636827
720.652860016,72.341801262
721.367793409,72.402823501
722.082726802,72.5995396
722.797660195,72.664086345
723.512593587,72.507617054
724.22752698,72.549533379
724.942460373,72.827808351
725.657393766,73.035275838
726.372327159,73.245933666
727.087260552,73.54702535
727.802193945,73.71259412
728.517127338,73.649555462
729.23206073,73.656184609
729.946994123,74.032418687
730.661927516,74.556633705
731.376860909,74.946995961
732.091794302,75.385801706
732.806727695,75.855490711
733.521661088,76.07285931
734.236594481,76.065173474
734.951527873,76.009891345
735.666461266,76.160184475
736.381394659,76.569421394
737.096328052,76.813337877
737.811261445,76.74404505
738.526194838,76.621379411
739.241128231,76.594718263
739.956061624,76.683995193
740.670995016,76.703533266
741.385928409,76.689104086
742.100861802,76.854461259
742.815795195,76.926978279
743.530728588,76.81080293
744.245661981,76.96241079
744.960595374,77.23231832
745.675528767,77.293835507
746.390462159,77.380229908
747.105395552,77.573025498
747.820328945,77.624897053
748.535262338,77.666715743
749.250195731,77.788664771
749.965129124,77.920861633
750.680062517,77.870282278
751.39499591,77.731691332
752.109929302,77.746948475
