Column1,Column2
399.647766616,30.64547534
400.362700009,28.919026466
401.077633402,31.713163172
401.792566795,32.649621514
402.507500187,29.364390823
403.22243358,28.116353186
403.937366973,29.102655468
404.652300366,30.077546645
405.367233759,32.19796186
406.082167152,33.9334665
406.797100545,32.279675582
407.512033938,29.466008206
408.22696733,29.940091544
408.941900723,30.738202182
409.656834116,29.920844842
410.371767509,30.598968925
411.086700902,31.483877135
411.801634295,31.097496961
412.516567688,31.140092262
413.231501081,32.690365314
413.946434473,34.002333347
414.661367866,32.166769302
415.376301259,28.231160048
416.091234652,29.333944299
416.806168045,32.40655259
417.521101438,32.662229946
418.236034831,33.551025156
418.950968224,35.5878645
419.665901616,32.336058415
420.380835009,30.291209811
421.095768402,30.847108386
421.810701795,31.408825486
422.525635188,31.475584062
423.240568581,31.247485864
423.955501974,30.871929138
424.670435367,29.521451615
425.385368759,29.737402701
426.100302152,32.825190815
426.815235545,33.769245804
427.530168938,31.876805394
428.245102331,30.5872462
428.960035724,30.778698105
429.674969117,31.04974978
430.38990251,31.435245522
431.104835902,31.603839642
431.819769295,31.193465344
432.534702688,29.905459118
433.249636081,29.986444343
433.964569474,31.779635301
434.679502867,31.239461444
435.39443626,29.680958371
436.109369653,30.451487962
436.824303045,31.030875944
437.539236438,31.288195433
438.254169831,32.25953354
438.969103224,32.36278889
439.684036617,31.900861189
440.39897001,31.480556623
441.113903403,30.995504157
441.828836796,31.234845561
442.543770188,31.448526388
443.258703581,32.023143131
443.973636974,32.773774538
444.688570367,31.794012049
445.40350376,30.649363869
446.118437153,31.174761474
446.833370546,31.88351488
447.548303938,31.874074204
448.263237331,31.766601238
448.978170724,31.783070438
449.693104117,31.668635152
450.40803751,31.549375534
451.122970903,32.31699738
451.837904296,32.925484494
452.552837689,32.034420574
453.267771081,30.903809997
453.982704474,31.379370672
454.697637867,32.231705272
455.41257126,32.219001012
456.127504653,31.516848095
456.842438046,31.302850736
457.557371439,31.376573464
458.272304832,31.129607807
458.987238224,31.877932665
459.702171617,31.867886337
460.41710501,30.391664209
461.132038403,30.992304417
461.846971796,33.332161422
462.561905189,33.335068917
463.276838582,32.219461769
463.991771975,31.706536321
464.706705367,31.399033048
465.42163876,31.851717502
466.136572153,32.508072242
466.851505546,32.021289982
467.566438939,31.101169011
468.281372332,30.764557125
468.996305725,30.685643777
469.711239118,31.459691603
470.42617251,32.534026713
471.141105903,32.062818217
471.856039296,31.069397947
472.570972689,32.104219332
473.285906082,32.376201387
474.000839475,31.630874657
474.715772868,32.514410565
475.430706261,33.338731063
476.145639653,32.856583222
476.860573046,32.624072325
477.575506439,32.690131688
478.290439832,32.658512116
479.005373225,32.421715023
479.720306618,32.908980763
480.435240011,34.16804174
481.150173404,33.600037641
481.865106796,32.152165383
482.580040189,32.624552191
483.294973582,33.32604919
484.009906975,33.124243822
484.724840368,32.492736824
485.439773761,32.092558472
486.154707154,32.759578208
486.869640547,33.235401514
487.584573939,32.929031381
488.299507332,33.302691976
489.014440725,33.443560217
489.729374118,32.633920462
490.444307511,32.120406576
491.159240904,32.668299133
491.874174297,33.659479222
492.589107689,33.874124425
493.304041082,33.624260973
494.018974475,33.49021948
494.733907868,33.122804186
495.448841261,32.674127489
496.163774654,33.600886707
496.878708047,34.735938965
497.59364144,34.129146905
498.308574832,33.083850214
499.023508225,33.017415564
499.738441618,33.49242244
500.453375011,33.806174249
501.168308404,33.644836766
501.883241797,33.194060228
502.59817519,33.107531095
503.313108583,32.970994058
504.028041975,32.661815714
504.742975368,32.669392171
505.457908761,33.061415355
506.172842154,33.467752686
506.887775547,33.478049827
507.60270894,33.609349817
508.317642333,33.776230171
509.032575726,33.295814611
509.747509118,32.657890974
510.462442511,32.981406893
511.177375904,33.615782505
511.892309297,33.774044701
512.60724269,33.68253208
513.322176083,33.585120346
514.037109476,33.458543687
514.752042869,33.431963706
515.466976261,33.609995589
516.181909654,33.709670026
516.896843047,33.319220211
517.61177644,32.745983918
518.326709833,32.918053021
519.041643226,33.604470915
519.756576619,33.674933984
520.471510012,33.334754821
521.186443404,33.097586033
521.901376797,32.86107921
522.61631019,32.724461322
523.331243583,32.652086073
524.046176976,32.87332085
524.761110369,33.22854088
525.476043762,33.034895699
526.190977155,32.735649337
526.905910547,33.114229419
527.62084394,33.683957061
528.335777333,33.7644519
529.050710726,33.816533985
529.765644119,33.894004628
530.480577512,33.674662813
531.195510905,33.549251377
531.910444298,33.581371649
532.62537769,33.510218974
533.340311083,33.400389736
534.055244476,33.674665149
534.770177869,33.973955631
535.485111262,33.784749552
536.200044655,33.61827762
536.914978048,33.714392626
537.62991144,33.824178845
538.344844833,34.009873439
539.059778226,34.138326993
539.774711619,33.980566488
540.489645012,34.094637751
541.204578405,34.344696212
541.919511798,34.268346788
542.634445191,34.412084732
543.349378583,34.999013018
544.064311976,35.009140913
544.779245369,34.710148496
545.494178762,34.781096985
546.209112155,35.092240386
546.924045548,35.152223117
547.638978941,35.311739235
548.353912334,35.641944427
549.068845726,35.705043693
549.783779119,35.413070621
550.498712512,35.334761258
551.213645905,35.328090614
551.928579298,35.284954898
552.643512691,35.396113349
553.358446084,35.643158951
554.073379477,35.87220456
554.788312869,35.931262694
555.503246262,35.816415279
556.218179655,35.731491729
556.933113048,35.766823035
557.648046441,35.948450176
558.362979834,36.047216069
559.077913227,35.952486318
559.79284662,35.97147549
560.507780012,36.254271166
561.222713405,36.34083699
561.937646798,36.17387949
562.652580191,36.177772328
563.367513584,36.123694167
564.082446977,35.96335015
564.79738037,36.131898211
565.512313763,36.130578136
566.227247155,35.713056566
566.942180548,35.786491769
567.657113941,36.145721673
568.372047334,36.136908934
569.086980727,36.196236493
569.80191412,36.370391154000004
570.516847513,36.372875294
571.231780906,36.581414495
571.946714298,36.987710539
572.661647691,37.04141473
573.376581084,36.630624986
574.091514477,36.370724726
574.80644787,36.504446267
575.521381263,36.499884938
576.236314656,36.495402856
576.951248048,36.737451945
577.666181441,36.691201764
578.381114834,36.566713088
579.096048227,36.807569638
579.81098162,36.91021318
580.525915013,36.818392898
581.240848406,36.657823415
581.955781799,36.488354608
582.670715191,36.427712767
583.385648584,36.253782982
584.100581977,36.281298708
584.81551537,36.463255901
585.530448763,36.39647351
586.245382156,36.575389195
586.960315549,37.001192097
587.675248942,37.277216
588.390182334,37.158210154
589.105115727,37.078261109
589.82004912,37.312132578
590.534982513,37.639847013
591.249915906,37.591560807
591.964849299,37.473004397
592.679782692,37.886867824
593.394716085,38.005036028
594.109649477,37.906797458
594.82458287,38.161603567
595.539516263,38.316568171
596.254449656,38.342728831
596.969383049,38.246908061
597.684316442,37.936077116
598.399249835,37.895165201
599.114183228,38.120621559
599.82911662,38.354179644
600.544050013,38.59299869
601.258983406,38.556768434
601.973916799,38.486562432
602.688850192,38.710458148
603.403783585,38.702327167
604.118716978,38.396021763
604.833650371,38.131329369
605.548583763,38.34169133
606.263517156,38.426795923
606.978450549,38.142461658
607.693383942,38.205266219
608.408317335,38.720890297
609.123250728,38.7013148
609.838184121,38.498483478
610.553117514,38.407015144
611.268050906,38.372261692
611.982984299,38.438960348
612.697917692,38.498912929
613.412851085,38.486073398
614.127784478,38.549464552
614.842717871,38.583922885
615.557651264,38.5228308
616.272584657,38.48267613
616.987518049,38.766639197
