Column1,Column2
399.647766616,26.278043709
400.362700009,27.817835561
401.077633402,28.657932485
401.792566795,28.357115692
402.507500187,28.350062119
403.22243358,27.335758161
403.937366973,25.973818226
404.652300366,26.155775864
405.367233759,27.606603269
406.082167152,28.50788241
406.797100545,28.469684856
407.512033938,27.868507796
408.22696733,27.928165919
408.941900723,27.751415982
409.656834116,25.804130493
410.371767509,25.372014622
411.086700902,27.12851624
411.801634295,28.168881353
412.516567688,27.320905422
413.231501081,26.898795621
413.946434473,27.02779002
414.661367866,27.278633125
415.376301259,28.141682396
416.091234652,28.395835615
416.806168045,27.604644358
417.521101438,26.231796716
418.236034831,25.515762467
418.950968224,26.872530575
419.665901616,28.292882805
420.380835009,27.906585575
421.095768402,27.619952179
421.810701795,27.752325069
422.525635188,27.846235067
423.240568581,28.147005318
423.955501974,28.267048664
424.670435367,28.112833044
425.385368759,28.05993113
426.100302152,27.7666907
426.815235545,27.560350701
427.530168938,27.68452053
428.245102331,27.41770809
428.960035724,27.230995078
429.674969117,27.475113603
430.38990251,27.775489974
431.104835902,28.33122169
431.819769295,28.540488516
432.534702688,27.905943004
433.249636081,27.611938861
433.964569474,28.33475619
434.679502867,29.003298015
435.39443626,28.460777128
436.109369653,27.786045631
436.824303045,28.22356518
437.539236438,28.239871966
438.254169831,27.669383368
438.969103224,27.7975502
439.684036617,27.685864943
440.39897001,27.209257371
441.113903403,27.792785602
441.828836796,28.62387763
442.543770188,28.621643652
443.258703581,28.613812097
443.973636974,28.627191842
444.688570367,28.409884937
445.40350376,27.933490133
446.118437153,27.457782513
446.833370546,27.862813531
447.548303938,28.384264354
448.263237331,27.994424351
448.978170724,27.742086025
449.693104117,28.24115238
450.40803751,28.59109653
451.122970903,28.819832381
451.837904296,29.281555985
452.552837689,29.424114726
453.267771081,28.520057771
453.982704474,27.731781452
454.697637867,27.521675979
455.41257126,27.575513312
456.127504653,28.383970031
456.842438046,29.260848355
457.557371439,29.006113291
458.272304832,28.879664863
458.987238224,29.310304809
459.702171617,29.302317139
460.41710501,28.354479856
461.132038403,27.893406872
461.846971796,28.309771675
462.561905189,28.627616087
463.276838582,28.469285139
463.991771975,28.350006264
464.706705367,28.348515526
465.42163876,28.506510168
466.136572153,28.442392142
466.851505546,28.100963791
467.566438939,28.432550816
468.281372332,29.058031835
468.996305725,28.962622112
469.711239118,28.614889181
470.42617251,28.467109764
471.141105903,28.273001249
471.856039296,28.441454936
472.570972689,28.840750448
473.285906082,29.180271089
474.000839475,29.210411844
474.715772868,28.745041382
475.430706261,28.834827932
476.145639653,29.225789966
476.860573046,29.204437453
477.575506439,29.745847003
478.290439832,30.002677368
479.005373225,29.23764612
479.720306618,28.909868356
480.435240011,28.872774078
481.150173404,29.059970611
481.865106796,29.632188226
482.580040189,29.322576008
483.294973582,28.617222771
484.009906975,28.987744174
484.724840368,29.4526479
485.439773761,29.936059141
486.154707154,29.996586011
486.869640547,29.152012716
487.584573939,28.865172075
488.299507332,29.068690964
489.014440725,29.024990488
489.729374118,29.479140391
490.444307511,29.743940976
491.159240904,29.502813863
491.874174297,29.636055537
492.589107689,29.670732442
493.304041082,29.578144859
494.018974475,29.963983848
494.733907868,29.928847246
495.448841261,29.367865536
