Column1,Column2
399.647766616,34.337004918
400.362700009,34.311301659
401.077633402,33.238697316
401.792566795,31.45200468
402.507500187,32.422446258
403.22243358,33.624458167
403.937366973,32.234259943
404.652300366,31.164926529
405.367233759,32.479096673
406.082167152,33.880266314
406.797100545,34.201941052
407.512033938,33.202747995
408.22696733,32.489515314
408.941900723,33.235773953
409.656834116,33.733291887
410.371767509,33.594780778
411.086700902,33.393047447
411.801634295,32.525980321
412.516567688,32.175599998
413.231501081,32.376942024
413.946434473,31.980417708
414.661367866,31.699401202
415.376301259,32.07601555
416.091234652,32.09459703
416.806168045,31.883606557
417.521101438,31.744598158
418.236034831,31.288743809
418.950968224,30.789432909
419.665901616,30.802875108
420.380835009,31.014767364
421.095768402,31.855773132
421.810701795,33.514925664
422.525635188,34.19134508
423.240568581,32.969943789
423.955501974,32.257587125
424.670435367,31.647155963
425.385368759,31.254950016
426.100302152,31.912154921
426.815235545,32.844122471
427.530168938,33.052043083
428.245102331,32.870471955
428.960035724,33.064954041
429.674969117,33.117855046
430.38990251,32.611082301
431.104835902,32.33685051
431.819769295,32.202885401
432.534702688,31.546525613
433.249636081,32.001060813
433.964569474,33.606682339
434.679502867,33.466924466
435.39443626,32.024871637
436.109369653,31.555480566
436.824303045,32.048908202
437.539236438,32.588094565
438.254169831,32.968013232
438.969103224,32.909974251
439.684036617,32.372292825
440.39897001,32.311560831
441.113903403,33.30474122
441.828836796,33.922968026
442.543770188,33.161458954
443.258703581,32.621711833
443.973636974,32.81562465
444.688570367,33.495109475
445.40350376,33.877823273
446.118437153,33.185179873
446.833370546,32.712265941
447.548303938,33.189630779
448.263237331,33.511057437
448.978170724,33.726148678
449.693104117,33.875752447
450.40803751,33.303763034
451.122970903,32.318519735
451.837904296,31.844326035
452.552837689,32.361410755
453.267771081,33.308974301
453.982704474,33.32523221
454.697637867,32.970733589
455.41257126,32.990213117
456.127504653,33.237823096
456.842438046,33.347683132
457.557371439,32.993138392
458.272304832,33.383729345
458.987238224,34.243209069
459.702171617,34.391125382
460.41710501,34.514182782
461.132038403,34.38260231
461.846971796,33.448989281
462.561905189,33.598676555
463.276838582,34.406989999
463.991771975,33.839788845
464.706705367,33.243494403
465.42163876,33.724288956
466.136572153,33.784360094
466.851505546,33.0348772
467.566438939,32.586522576
468.281372332,32.782884939
468.996305725,33.29814427
469.711239118,33.770004837
470.42617251,34.292868686
471.141105903,34.694109853
471.856039296,33.997094455
472.570972689,32.91641811
473.285906082,33.282261357
474.000839475,33.84503738
474.715772868,33.796025588
475.430706261,33.691249026
476.145639653,33.803142558
476.860573046,34.0360207
477.575506439,34.251431263
478.290439832,34.243442256
479.005373225,34.105906884
479.720306618,34.291615616
480.435240011,34.378053654
481.150173404,33.984728073
481.865106796,33.645034924
482.580040189,33.578891318
483.294973582,33.748588602
484.009906975,34.303741545
484.724840368,34.586889756
485.439773761,34.497361357
486.154707154,34.686556262
486.869640547,34.684700531
487.584573939,33.781566293
488.299507332,33.3375099
489.014440725,34.300556579
489.729374118,34.96324483
490.444307511,35.159114185
491.159240904,35.314164161
491.874174297,35.273527731
492.589107689,35.197372211
493.304041082,35.256725178
494.018974475,34.920388833
494.733907868,34.702923445
495.448841261,34.853575736
496.163774654,34.751121961
496.878708047,34.518679792
497.59364144,34.684289688
498.308574832,34.896732516
499.023508225,34.78321787
499.738441618,34.520419738
500.453375011,34.584309615
501.168308404,34.879966557
501.883241797,34.891204647
502.59817519,34.827645517
503.313108583,34.974439642
504.028041975,34.725933791
504.742975368,34.408305335
505.457908761,34.492068644
506.172842154,34.892369142
506.887775547,35.271960085
507.60270894,35.076011552
508.317642333,34.802458111
509.032575726,34.733080236
509.747509118,34.705585394
510.462442511,34.877088392
511.177375904,35.157713034
511.892309297,35.178964737
512.60724269,34.903066319
513.322176083,34.695062658
514.037109476,34.784783612
514.752042869,34.872516852
515.466976261,34.686283243
516.181909654,34.659856324
516.896843047,34.870706809
517.61177644,34.924079207
518.326709833,35.19534853
519.041643226,35.478914341
519.756576619,35.294871868
520.471510012,35.046904493
521.186443404,34.679065604
521.901376797,34.243724347
522.61631019,34.203110182
523.331243583,34.506180584
524.046176976,34.865914522
524.761110369,35.014106147
525.476043762,35.057450614
526.190977155,35.10117458
526.905910547,34.888564941
527.62084394,34.638706927
528.335777333,34.749414653
529.050710726,34.889700756
529.765644119,35.177171432
530.480577512,35.511290337
531.195510905,35.552508754
531.910444298,35.54597342
532.62537769,35.426038504
533.340311083,35.143873939
534.055244476,34.786193313
534.770177869,34.749028192
535.485111262,35.034923689
536.200044655,35.474362944
536.914978048,35.527969186
537.62991144,35.533661079
538.344844833,35.599801392
539.059778226,35.554266827
539.774711619,35.574684382
540.489645012,35.955796816
541.204578405,36.325545593
541.919511798,36.564275522
542.634445191,36.453434893
543.349378583,36.303443339
544.064311976,36.282253789
544.779245369,36.196407419
545.494178762,36.420454851
546.209112155,36.672408576
546.924045548,36.592429753
547.638978941,36.481458459
548.353912334,36.611270854
549.068845726,36.727188156
549.783779119,36.850663617
550.498712512,36.990518293
551.213645905,37.17581987
551.928579298,37.239973645
552.643512691,37.077832826
553.358446084,37.060419002
554.073379477,37.115740064
554.788312869,37.007080752
555.503246262,36.95736559
556.218179655,37.012705769
556.933113048,37.114162027
557.648046441,37.370392957
558.362979834,37.622461452
559.077913227,37.786314789
559.79284662,37.806796635
560.507780012,37.614819512
561.222713405,37.618095884
561.937646798,37.862514837
562.652580191,37.894286205
563.367513584,37.961364941
564.082446977,37.947878595
564.79738037,37.630460491
565.512313763,37.543622252
566.227247155,37.805557368
566.942180548,37.983198692
567.657113941,37.86851947
568.372047334,37.611940203
569.086980727,37.586318089
569.80191412,37.813324597
570.516847513,37.941676292
571.231780906,37.934349834
571.946714298,37.782227493
572.661647691,37.895305587
573.376581084,38.128764304
574.091514477,37.833801894
574.80644787,37.409987522
575.521381263,37.665407936
576.236314656,38.040369441
576.951248048,38.24757042
577.666181441,38.081365163
578.381114834,37.855175693
579.096048227,38.013419984
579.81098162,38.150764404
580.525915013,38.087815392
581.240848406,38.079198251
581.955781799,38.007296364
582.670715191,37.872986863
583.385648584,37.878099764
584.100581977,37.879649801
584.81551537,37.743151535
585.530448763,37.776916298
586.245382156,38.30557683
586.960315549,38.57636804
587.675248942,38.393839258
588.390182334,38.140797808
589.105115727,38.247098036
589.82004912,38.669851962
590.534982513,38.940640475
591.249915906,39.156267686
591.964849299,39.186855575
592.679782692,39.195827409
593.394716085,39.167652233
594.109649477,39.161138468
594.82458287,39.278582354
595.539516263,39.422986025
596.254449656,39.715296987
596.969383049,39.861870647
597.684316442,39.935543778
598.399249835,40.060044435
599.114183228,40.29416879
599.82911662,40.250290943
600.544050013,40.11144127
601.258983406,40.195941062
601.973916799,40.328309212
602.688850192,40.25164366
603.403783585,40.132579557
604.118716978,40.100384726
604.833650371,40.110801333
605.548583763,40.169341513
606.263517156,40.402771301
606.978450549,40.439915336
607.693383942,40.155415713
608.408317335,39.862506988
609.123250728,39.912381489
609.838184121,39.769453278
610.553117514,39.544371751
611.268050906,39.656020803
611.982984299,39.804476141
612.697917692,39.874560544
613.412851085,40.075467126
614.127784478,40.217500482
614.842717871,40.264408838
615.557651264,40.259709234
616.272584657,40.338179275
616.987518049,40.398438462
617.702451442,40.23975252
618.417384835,40.201618053
619.132318228,40.461772976
619.847251621,40.758839271
620.562185014,40.860516521
621.277118407,40.792818922
621.992051799,40.806849566
622.706985192,40.977424484
623.421918585,41.184443754
624.136851978,41.28541734
624.851785371,41.32117505
625.566718764,41.372372732
626.281652157,41.342747551
626.99658555,41.205872151
627.711518942,41.234642051
628.426452335,41.38235695
629.141385728,41.449634413
629.856319121,41.40899881
630.571252514,41.364070402
631.286185907,41.322360307
632.0011193,41.359011552
632.716052693,41.626711976
633.430986085,42.141936471
634.145919478,42.592955269
634.860852871,42.651497492
635.575786264,42.56742367
636.290719657,42.686896437
637.00565305,42.903406935
637.720586443,43.062086443
638.435519836,43.311511696
639.150453228,43.389417
639.865386621,43.490258543
640.580320014,43.675382654
641.295253407,43.834255044
642.0101868,44.035070599
642.725120193,44.053401425
643.440053586,43.946569672
644.154986979,44.0928243
644.869920371,44.224866473
645.584853764,44.383765494
646.299787157,44.685580271
647.01472055,44.80780105
647.729653943,44.671299119
648.444587336,44.654002442
649.159520729,44.761937266
649.874454122,44.941075975
650.589387514,44.987349082
651.304320907,44.982340105
652.0192543,45.097402736
652.734187693,45.220873513
653.449121086,45.121591105
654.164054479,45.136965067
654.878987872,45.219639227
655.593921265,45.225268726
656.308854657,45.19771714
657.02378805,45.236200452
657.738721443,45.249265992
658.453654836,45.193384017
659.168588229,45.237411232
659.883521622,45.346569298
660.598455015,45.443333239
661.313388408,45.671222584
662.0283218,45.945141472
662.743255193,46.178633008
663.458188586,46.131467185
664.173121979,46.10852442
664.888055372,46.158641149
665.602988765,46.269255048
666.317922158,46.681409351
667.03285555,47.2632598
667.747788943,47.384917653
668.462722336,46.917901857
669.177655729,46.84476401
669.892589122,46.94077126
670.607522515,46.978264995
671.322455908,46.865041958
