Column1,Column2
399.647766616,68.52543975
400.362700009,67.181795459
401.077633402,65.80160821
401.792566795,66.620165032
402.507500187,68.071351448
403.22243358,67.463749443
403.937366973,66.663110386
404.652300366,67.261759406
405.367233759,68.274283835
406.082167152,69.082496611
406.797100545,69.159621357
407.512033938,68.016817949
408.22696733,67.315805936
408.941900723,67.038159
409.656834116,67.100255448
410.371767509,68.036173024
411.086700902,68.885403227
411.801634295,69.068668565
412.516567688,68.818407685
413.231501081,68.243544526
413.946434473,68.483448814
414.661367866,68.62089954
415.376301259,67.657640151
416.091234652,67.751945759
416.806168045,68.13844781
417.521101438,67.353168197
418.236034831,66.891521353
418.950968224,66.496413995
419.665901616,65.909329122
420.380835009,66.960402179
421.095768402,67.040546404
421.810701795,65.741271728
422.525635188,66.324904477
423.240568581,67.591169487
423.955501974,68.110921102
424.670435367,67.934898858
425.385368759,67.178994465
426.100302152,66.952624901
426.815235545,67.096442462
427.530168938,66.866937762
428.245102331,67.426093184
428.960035724,68.524661112
429.674969117,68.639529084
430.38990251,68.011187171
431.104835902,67.103460544
431.819769295,66.935152858
432.534702688,67.628054653
433.249636081,67.914978164
433.964569474,67.876822914
434.679502867,68.062643341
435.39443626,68.60200457
436.109369653,68.92551557
436.824303045,68.084695895
437.539236438,66.919473065
438.254169831,66.449353263
438.969103224,66.587986666
439.684036617,66.820804944
440.39897001,67.173296366
441.113903403,67.375336908
441.828836796,67.319279213
442.543770188,67.561727053
443.258703581,67.829802402
443.973636974,68.062649222
444.688570367,68.515973131
445.40350376,68.975589666
446.118437153,69.268777529
446.833370546,69.227247807
447.548303938,68.350464
448.263237331,67.237807075
448.978170724,67.19473893
449.693104117,67.891161995
450.40803751,68.355813198
451.122970903,68.257773864
451.837904296,68.080649042
452.552837689,68.423049957
453.267771081,68.303665552
453.982704474,67.817992277
454.697637867,68.501592907
455.41257126,69.033555968
456.127504653,68.204668337
456.842438046,67.158652014
457.557371439,67.314608005
458.272304832,68.301592189
458.987238224,68.648518081
459.702171617,68.165956894
460.41710501,68.13620621
