Column1,Column2
399.647766616,62.293797091
400.362700009,63.168046698
401.077633402,63.755867571
401.792566795,63.808179181
402.507500187,64.699526752
403.22243358,64.900171752
403.937366973,63.433396566
404.652300366,62.523808675
405.367233759,63.581635774
406.082167152,64.073717862
406.797100545,63.382466315
407.512033938,62.084450193
408.22696733,61.732587179
408.941900723,62.955212102
409.656834116,63.510515995
410.371767509,62.579681994
411.086700902,61.880568385
411.801634295,62.113455812
412.516567688,62.341558261
413.231501081,61.744256938
413.946434473,61.50658001
414.661367866,62.5084612
415.376301259,62.999156548
416.091234652,62.162215111
416.806168045,62.492746717
417.521101438,63.199800695
418.236034831,62.262038872
418.950968224,62.191440022
419.665901616,62.289911465
420.380835009,61.665832237
421.095768402,62.825632864
421.810701795,63.87227025
422.525635188,62.422189522
423.240568581,61.86137093
423.955501974,62.026960268
424.670435367,61.417869219
425.385368759,61.59456775
426.100302152,61.667692646
426.815235545,60.412725358
427.530168938,60.643269377
428.245102331,62.438883287
428.960035724,63.074065242
429.674969117,63.486252927
430.38990251,63.876859065
431.104835902,62.778366863
431.819769295,61.934878579
432.534702688,61.279044925
433.249636081,60.924158019
433.964569474,61.548097013
434.679502867,61.40072325
435.39443626,60.278932837
436.109369653,60.440110682
436.824303045,60.909874636
437.539236438,61.443772341
438.254169831,62.177354516
438.969103224,61.768951878
439.684036617,62.305621035
440.39897001,63.585389678
441.113903403,62.620863583
441.828836796,61.273781281
442.543770188,61.371020033
443.258703581,61.253531577
443.973636974,61.611250698
444.688570367,62.27794244
445.40350376,62.36860995
446.118437153,62.255197814
446.833370546,61.947144303
447.548303938,62.002834284
448.263237331,62.258983733
448.978170724,62.242738519
449.693104117,62.863825622
450.40803751,62.818923492
451.122970903,61.765073765
451.837904296,62.141820078
452.552837689,62.828920748
453.267771081,61.921698182
453.982704474,61.846108532
454.697637867,62.651747093
455.41257126,63.011849617
456.127504653,63.276938866
456.842438046,62.391624118
457.557371439,61.356503296
458.272304832,61.734159119
458.987238224,62.327693113
459.702171617,62.745959764
460.41710501,62.476615011
461.132038403,61.863022704
461.846971796,61.303424296
462.561905189,60.520909023
463.276838582,60.025692761
463.991771975,61.030833691
464.706705367,62.125776851
465.42163876,62.640679542
466.136572153,62.629960753
466.851505546,62.4175113
467.566438939,62.240949006
468.281372332,62.203081597
468.996305725,62.469985057
469.711239118,62.568659763
470.42617251,61.685113712
471.141105903,60.797965322
471.856039296,60.475714314
472.570972689,60.383138128
473.285906082,60.92101916
474.000839475,61.452856611
474.715772868,61.536597682
475.430706261,62.201747648
476.145639653,62.622289576
476.860573046,61.58027177
477.575506439,60.591446516
478.290439832,60.778905521
479.005373225,61.467658258
479.720306618,61.388095712
480.435240011,60.915917825
481.150173404,61.521775271
481.865106796,61.933527175
482.580040189,61.167868
483.294973582,60.074936671
484.009906975,59.691413444
484.724840368,59.921658015
485.439773761,60.910184638
486.154707154,61.832113261
486.869640547,62.324829171
487.584573939,62.02358647
488.299507332,61.497796081
489.014440725,61.474181135
489.729374118,61.58477648
490.444307511,60.980811954
491.159240904,60.800580738
491.874174297,61.736277624
492.589107689,62.078014701
493.304041082,61.538462498
494.018974475,61.000006578
494.733907868,60.794093768
495.448841261,60.737677129
496.163774654,61.108883829
496.878708047,61.749403651
497.59364144,62.066203859
498.308574832,61.833837114
499.023508225,60.897649968
499.738441618,60.080516868
500.453375011,60.249813992
501.168308404,60.428452154
501.883241797,60.678929505
502.59817519,61.341524135
503.313108583,61.277098595
504.028041975,60.56981254
504.742975368,60.393372256
505.457908761,60.61522183
506.172842154,60.716105213
506.887775547,61.019450851
507.60270894,61.426233484
508.317642333,61.383886717
509.032575726,60.99167054
509.747509118,60.419673496
510.462442511,59.954278113
511.177375904,59.677874297
511.892309297,59.722510328
512.60724269,59.997986342
513.322176083,60.122345561
514.037109476,60.238176459
514.752042869,60.274140372
515.466976261,59.947660293
516.181909654,59.828776865
516.896843047,59.984574118
517.61177644,59.580299143
518.326709833,59.153107496
519.041643226,59.641402909
519.756576619,60.369528764
520.471510012,60.425249408
521.186443404,60.240514603
521.901376797,60.042632142
522.61631019,59.887326901
523.331243583,59.716345707
524.046176976,59.632195701
524.761110369,59.842672289
525.476043762,60.197722064
526.190977155,60.584281814
526.905910547,60.638246954
527.62084394,60.589513584
528.335777333,60.670710637
529.050710726,60.990828439
529.765644119,61.135540641
530.480577512,60.85191232
531.195510905,60.608285289
531.910444298,60.588288716
532.62537769,60.71515757
533.340311083,60.613914701
534.055244476,60.391194865
534.770177869,60.425327417
535.485111262,60.473089889
536.200044655,60.500976877
536.914978048,60.901971243
537.62991144,61.018376303
538.344844833,60.613120338
539.059778226,60.260944888
539.774711619,60.244957303
540.489645012,60.377934616
541.204578405,60.626177369
541.919511798,60.661353146
542.634445191,60.393150833
543.349378583,60.424504698
544.064311976,60.533804862
544.779245369,60.381865012
545.494178762,60.280061904
546.209112155,60.564430038
546.924045548,60.921345778
547.638978941,61.075463909
548.353912334,60.947555252
549.068845726,60.964989837
549.783779119,61.117625253
550.498712512,61.050299056
551.213645905,60.965475254
551.928579298,61.07504062
552.643512691,61.183086671
553.358446084,61.165854945
554.073379477,61.176725364
554.788312869,61.217488144
555.503246262,61.228915305
556.218179655,61.211250502
